first_team,second_team,stadium,winner
Chennai Super Kings , Mumbai Indians,"Newlands, Cape Town",Mumbai Indians 
Royal Challengers Bangalore , Rajasthan Royals,"Newlands, Cape Town",Royal Challengers Bangalore 
Delhi Daredevils , Kings XI Punjab,"Newlands, Cape Town",Delhi Daredevils 
Deccan Chargers , Kolkata Knight Riders,"Newlands, Cape Town",Deccan Chargers 
Royal Challengers Bangalore , Chennai Super Kings,"St George's Park, Port Elizabeth",Chennai Super Kings 
Kings XI Punjab , Kolkata Knight Riders,"Kingsmead, Durban",Kolkata Knight Riders 
Mumbai Indians , Rajasthan Royals,"Kingsmead, Durban",Match abandoned without a ball bowled
Royal Challengers Bangalore , Deccan Chargers,"Newlands, Cape Town",Deccan Chargers 
Chennai Super Kings , Delhi Daredevils,"Kingsmead, Durban",Delhi Daredevils 
Kolkata Knight Riders , Rajasthan Royals,"Newlands, Cape Town",Match tied (Rajasthan Royals 
Royal Challengers Bangalore , Kings XI Punjab,"Kingsmead, Durban",Kings XI Punjab 
Deccan Chargers , Mumbai Indians,"Kingsmead, Durban",Deccan Chargers 
Chennai Super Kings , Kolkata Knight Riders,"Newlands, Cape Town",Match abandoned without a ball bowled
Royal Challengers Bangalore , Delhi Daredevils,"St George's Park, Port Elizabeth",Delhi Daredevils 
Kings XI Punjab , Rajasthan Royals,"Newlands, Cape Town",Kings XI Punjab 
Chennai Super Kings , Deccan Chargers,"Kingsmead, Durban",Deccan Chargers 
Kolkata Knight Riders , Mumbai Indians,"St George's Park, Port Elizabeth",Mumbai Indians 
Delhi Daredevils , Rajasthan Royals,"SuperSport Park, Centurion",Rajasthan Royals 
Royal Challengers Bangalore , Kolkata Knight Riders,"Kingsmead, Durban",Royal Challengers Bangalore 
Kings XI Punjab , Mumbai Indians,"Kingsmead, Durban",Kings XI Punjab 
Deccan Chargers , Delhi Daredevils,"SuperSport Park, Centurion",Delhi Daredevils 
Chennai Super Kings , Rajasthan Royals,"SuperSport Park, Centurion",Chennai Super Kings 
Kolkata Knight Riders , Mumbai Indians,"Buffalo Park, East London",Mumbai Indians 
Royal Challengers Bangalore , Kings XI Punjab,"Kingsmead, Durban",Royal Challengers Bangalore 
Deccan Chargers , Rajasthan Royals,"St George's Park, Port Elizabeth",Rajasthan Royals 
Chennai Super Kings , Delhi Daredevils,"The Wanderers Stadium, Johannesburg",Chennai Super Kings 
Kings XI Punjab , Kolkata Knight Riders,"St George's Park, Port Elizabeth",Kings XI Punjab 
Royal Challengers Bangalore , Mumbai Indians,"The Wanderers Stadium, Johannesburg",Royal Challengers Bangalore 
Chennai Super Kings , Deccan Chargers,"Buffalo Park, East London",Chennai Super Kings 
Kings XI Punjab , Rajasthan Royals,"Kingsmead, Durban",Rajasthan Royals 
Delhi Daredevils , Kolkata Knight Riders,"Kingsmead, Durban",Delhi Daredevils 
Deccan Chargers , Mumbai Indians,"SuperSport Park, Centurion",Deccan Chargers 
Royal Challengers Bangalore , Rajasthan Royals,"SuperSport Park, Centurion",Rajasthan Royals 
Chennai Super Kings , Kings XI Punjab,"SuperSport Park, Centurion",Chennai Super Kings 
Delhi Daredevils , Mumbai Indians,"Buffalo Park, East London",Delhi Daredevils 
Deccan Chargers , Kings XI Punjab,"Diamond Oval, Kimberley",Kings XI Punjab 
Chennai Super Kings , Rajasthan Royals,"Diamond Oval, Kimberley",Chennai Super Kings 
Royal Challengers Bangalore , Mumbai Indians,"St George's Park, Port Elizabeth",Mumbai Indians 
Delhi Daredevils , Kolkata Knight Riders,"The Wanderers Stadium, Johannesburg",Delhi Daredevils 
Deccan Chargers , Rajasthan Royals,"Diamond Oval, Kimberley",Deccan Chargers 
Royal Challengers Bangalore , Kolkata Knight Riders,"SuperSport Park, Centurion",Royal Challengers Bangalore 
Kings XI Punjab , Mumbai Indians,"SuperSport Park, Centurion",Mumbai Indians 
Deccan Chargers , Delhi Daredevils,"Kingsmead, Durban",Delhi Daredevils 
Royal Challengers Bangalore , Chennai Super Kings,"Kingsmead, Durban",Royal Challengers Bangalore 
Mumbai Indians , Rajasthan Royals,"Kingsmead, Durban",Rajasthan Royals 
Delhi Daredevils , Kings XI Punjab,"Mangaung Oval, Bloemfontein",Kings XI Punjab 
Chennai Super Kings , Mumbai Indians,"St George's Park, Port Elizabeth",Chennai Super Kings 
Deccan Chargers , Kolkata Knight Riders,"The Wanderers Stadium, Johannesburg",Deccan Chargers 
Deccan Chargers , Kings XI Punjab,"The Wanderers Stadium, Johannesburg",Kings XI Punjab 
Delhi Daredevils , Rajasthan Royals,"Mangaung Oval, Bloemfontein",Delhi Daredevils 
Chennai Super Kings , Kolkata Knight Riders,"SuperSport Park, Centurion",Kolkata Knight Riders 
Royal Challengers Bangalore , Delhi Daredevils,"The Wanderers Stadium, Johannesburg",Royal Challengers Bangalore 
Kolkata Knight Riders , Rajasthan Royals,"Kingsmead, Durban",Kolkata Knight Riders 
Chennai Super Kings , Kings XI Punjab,"Kingsmead, Durban",Chennai Super Kings 
Delhi Daredevils , Mumbai Indians,"SuperSport Park, Centurion",Delhi Daredevils 
Royal Challengers Bangalore , Deccan Chargers,"SuperSport Park, Centurion",Royal Challengers Bangalore 
Delhi Daredevils , Deccan Chargers,"SuperSport Park, Centurion",Deccan Chargers 
Royal Challengers Bangalore , Chennai Super Kings,"The Wanderers Stadium, Johannesburg",Royal Challengers Bangalore 
Royal Challengers Bangalore , Deccan Chargers,"The Wanderers Stadium, Johannesburg",Deccan Chargers 
